  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND                                                                   
 1417 bovvlet   20   0 3882900 295712 102308 S  11,2  3,7  25:39.50 gnome-shell                                                               
  997 bovvlet   20   0 1020204 113684  85904 S   3,6  1,4  12:43.19 Xorg                                                                      
12667 bovvlet   20   0  728612  42056  29636 S   2,0  0,5   0:08.49 gnome-terminal-                                                           
 2658 bovvlet   20   0 16,745g 356312 166596 S   1,3  4,4  32:37.27 chrome                                                                    
 7533 bovvlet   20   0 3256412 231212 143084 S   1,0  2,9   8:24.94 spotify                                                                   
13852 bovvlet   20   0 44,591g 374880 118908 S   0,7  4,7   1:16.08 chrome                                                                    
17879 bovvlet   20   0   45572   4248   3556 R   0,7  0,1   0:00.16 top                                                                       
 1902 root      20   0  111008  33052   8072 S   0,3  0,4   2:51.04 windscribe                                                                
 2751 bovvlet   20   0 16,489g 127076  88304 S   0,3  1,6   6:56.77 chrome                                                                    
    1 root      20   0  225892   9636   6668 S   0,0  0,1   0:28.77 systemd                                                                   
    2 root      20   0       0      0      0 S   0,0  0,0   0:00.07 kthreadd                                                                  
    3 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 rcu_gp                                                                    
    4 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 rcu_par_gp                                                                
    6 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 kworker/0:0H                                                              
    8 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 mm_percpu_wq                                                              
    9 root      20   0       0      0      0 S   0,0  0,0   0:01.43 ksoftirqd/0                                                               
   10 root      20   0       0      0      0 I   0,0  0,0   1:08.78 rcu_sched                                                                 
   11 root      rt   0       0      0      0 S   0,0  0,0   0:00.71 migration/0                                                               
   12 root     -51   0       0      0      0 S   0,0  0,0   0:00.00 idle_inject/0                                                             
   14 root      20   0       0      0      0 S   0,0  0,0   0:00.00 cpuhp/0                                                                   
   15 root      20   0       0      0      0 S   0,0  0,0   0:00.00 cpuhp/1                                                                   
   16 root     -51   0       0      0      0 S   0,0  0,0   0:00.00 idle_inject/1                                                             
   17 root      rt   0       0      0      0 S   0,0  0,0   0:00.82 migration/1                                                               
   18 root      20   0       0      0      0 S   0,0  0,0   0:00.55 ksoftirqd/1                                                               
   20 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 kworker/1:0H-kb                                                           
   21 root      20   0       0      0      0 S   0,0  0,0   0:00.00 cpuhp/2                                                                   
   22 root     -51   0       0      0      0 S   0,0  0,0   0:00.00 idle_inject/2                                                             
   23 root      rt   0       0      0      0 S   0,0  0,0   0:00.93 migration/2                                                               
   24 root      20   0       0      0      0 S   0,0  0,0   0:00.59 ksoftirqd/2                                                               
   27 root      20   0       0      0      0 S   0,0  0,0   0:00.00 cpuhp/3                                                                   
   28 root     -51   0       0      0      0 S   0,0  0,0   0:00.00 idle_inject/3                                                             
